[2026-05-04 20:09:13.815] Schedulers iniciados...
[2026-05-04 20:09:13.828] PreExecutionChecks iniciados...
[2026-05-04 20:09:13.830] WorkerExecutions iniciados...
[2026-05-04 20:09:13.831] PostProcessings iniciados...
[2026-05-04 20:09:13.831] Sistema en ejecucion...
[2026-05-04 20:09:41.135] Nodo 21 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.135] Nodo 22 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.135] Nodo 23 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 24 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 25 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.136] Nodo 26 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.136] Nodo 27 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 28 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.136] Nodo 29 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.136] Nodo 30 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 31 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.136] Nodo 32 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.136] Nodo 33 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.136] Nodo 34 | Estado: LIBRE | Ejecuciones: 0
[2026-05-04 20:09:41.136] Nodo 35 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 36 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 37 | Estado: LIBRE | Ejecuciones: 0
[2026-05-04 20:09:41.136] Nodo 38 | Estado: LIBRE | Ejecuciones: 5
[2026-05-04 20:09:41.136] Nodo 39 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.136] Nodo 40 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 41 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 42 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 43 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.136] Nodo 44 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.137] Nodo 45 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 4
[2026-05-04 20:09:41.137] Nodo 46 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.137] Nodo 47 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.137] Nodo 48 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.137] Nodo 49 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.137] Nodo 50 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.137] Nodo 51 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.137] Nodo 52 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.137] Nodo 53 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.137] Nodo 54 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.137] Nodo 55 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.137] Nodo 56 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.137] Nodo 57 | Estado: LIBRE | Ejecuciones: 5
[2026-05-04 20:09:41.137] Nodo 58 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.137] Nodo 59 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.137] Nodo 60 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.137] Nodo 61 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.137] Nodo 62 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.137] Nodo 63 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.137] Nodo 64 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 4
[2026-05-04 20:09:41.137] Nodo 65 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.138] Nodo 66 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 67 | Estado: LIBRE | Ejecuciones: 5
[2026-05-04 20:09:41.138] Nodo 68 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.138] Nodo 69 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.138] Nodo 70 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 71 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.138] Nodo 72 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.138] Nodo 73 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 74 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 5
[2026-05-04 20:09:41.138] Nodo 75 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.138] Nodo 76 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.138] Nodo 77 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 78 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.138] Nodo 79 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.138] Nodo 80 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 81 | Estado: LIBRE | Ejecuciones: 5
[2026-05-04 20:09:41.138] Nodo 82 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.138] Nodo 83 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.138] Nodo 84 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 85 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 86 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 87 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.138] Nodo 88 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 3
[2026-05-04 20:09:41.138] Nodo 89 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.138] Nodo 90 | Estado: LIBRE | Ejecuciones: 3
[2026-05-04 20:09:41.138] Nodo 91 | Estado: LIBRE | Ejecuciones: 4
[2026-05-04 20:09:41.138] Nodo 92 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.138] Nodo 93 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
[2026-05-04 20:09:41.138] Nodo 94 | Estado: LIBRE | Ejecuciones: 2
[2026-05-04 20:09:41.138] Nodo 95 | Estado: LIBRE | Ejecuciones: 1
[2026-05-04 20:09:41.138] Nodo 96 | Estado: FUERA_DE_SERVICIO | Ejecuciones: 1
